BASE_DATE,ID_KISP,CLEAN_PRICE,MAT_YLD,MAT_MOD_DUR,MAT_CONVEX
20170327,XS1388938802,95.62124985,0.0325471,7.9113246,34.16726
20170328,XS1388938802,96.2366,0.0317372,7.9135646,34.1726372
20170329,XS1388938802,95.9575,0.032106,7.9088665,34.1404362
20170330,XS1388938802,95.7155,0.0324272,8.0154804,34.5889533
20170331,XS1388938802,95.9872,0.0320684,8.0145186,34.5768754
20170401,XS1388938802,95.7161,0.0324278,8.0096706,34.5429894
20170402,XS1388938802,95.71806118,0.0324267,8.0069485,34.5211374
20170403,XS1388938802,95.72002217,0.0324255,8.0042265,34.499293
20170405,XS1388938802,96.4251,0.0314973,8.0064457,34.5048073
20170406,XS1388938802,96.3003,0.0316625,8.0027578,34.477491
20170407,XS1388938802,96.426,0.0314985,8.000558,34.4582368
20170408,XS1388938802,96.5049,0.031396,7.9985767,34.4406826
20170409,XS1388938802,96.50682962,0.0313947,7.9958564,34.4188721
20170410,XS1388938802,96.50875891,0.0313933,7.9931361,34.397069
20170411,XS1388938802,96.0897,0.0319464,7.9879409,34.3617874
20170414,XS1388938802,97.1031,0.0306192,7.9868727,34.3358937
20170415,XS1388938802,97.176,0.0305249,7.9845708,34.3164231
20170416,XS1388938802,97.17774503,0.0305236,7.98185,34.2946486
20170417,XS1388938802,97.17949074,0.0305222,7.9791291,34.2728813
20170418,XS1388938802,97.42234,0.0302065,7.9779166,34.2593271
20170419,XS1388938802,97.146767,0.0305669,7.9732291,34.2266697
20170425,XS1388938802,96.636244,0.0312429,7.9533306,34.0766954
20170427,XS1388938802,96.476903,0.0314553,7.9470194,34.02833
20170428,XS1388938802,96.59758463,0.0312973,7.9451191,34.0112218
20170429,XS1388938802,96.76315745,0.0310803,7.9434237,33.9951594
20170430,XS1388938802,96.76499938,0.0310789,7.9407031,33.973498
20170501,XS1388938802,96.76684148,0.0310776,7.9379826,33.9518441
20170502,XS1388938802,96.76868386,0.0310763,7.9352621,33.9301976
20170503,XS1388938802,96.51674774,0.0314099,7.9308105,33.8990002
20170504,XS1388938802,96.51863827,0.0314085,7.92809,33.8773733
20170505,XS1388938802,96.50677904,0.0314254,7.9255943,33.8571977
20170506,XS1388938802,96.50864366,0.0314242,7.9228732,33.835582
20170507,XS1388938802,96.51050804,0.0314229,7.9201522,33.8139737
20170508,XS1388938802,96.51237295,0.0314216,7.9174312,33.7923728
20170509,XS1388938802,96.34565622,0.0316438,7.9135966,33.7646109
20170510,XS1388938802,96.34759707,0.0316425,7.9108761,33.7430306
20170511,XS1388938802,96.01193766,0.0320901,7.9056633,33.7076232
20170512,XS1388938802,96.00065893,0.0321065,7.9030432,33.6867918
20170513,XS1388938802,96.12124841,0.0319472,7.9010827,33.6694179
20170514,XS1388938802,96.1232328,0.031946,7.8983621,33.6478711
